SUPORTE;CONFIANÇA;ITENS;ITEMSET;FATORDEORDENAÇÃO
0.46666667;0.77777773;2;6,13;1.000000
0.33333334;0.5;3;12,6,9;1.000000
0.33333334;0.5;3;12,6,13;1.000000
0.26666668;0.4;4;12,6,9,3;1.000000
0.26666668;0.4;4;12,6,13,9;1.000000
0.2;0.29999998;5;12,6,13,9,3;1.000000
0.06666667;0.16666667;6;2,8,17,4,11,15;1.000000
0.46666667;0.7;2;12,6;0.900000055285718
0.26666668;0.44444445;3;6,13,1;0.8888889
0.26666668;0.6666667;2;2,17;0.857142952653067
0.26666668;0.6666667;2;2,8;0.857142952653067
0.13333334;0.33333334;4;2,8,4,15;0.83333335
0.4;0.59999996;2;12,9;0.771428567387755
0.2;0.29999998;4;12,6,9,16;0.74999995
0.13333334;0.22222222;5;13,2,8,5,10;0.740740782716052
0.33333334;0.5555555;2;6,1;0.714285686734692
0.13333334;0.2;5;12,6,1,18,7;0.666666711111114
0.13333334;0.2;5;12,6,9,16,3;0.666666711111114
0.13333334;0.2;5;12,6,13,9,16;0.666666711111114
0.13333334;0.33333334;3;2,17,5;0.66666668
0.13333334;0.33333334;3;2,17,4;0.66666668
0.13333334;0.33333334;3;2,8,17;0.66666668
0.06666667;0.11111111;6;13,2,8,18,5,10;0.666666646666667
0.06666667;0.11111111;6;13,2,8,17,5,10;0.666666646666667
0.06666667;0.11111111;6;6,13,1,16,7,11;0.666666646666667
0.06666667;0.11111111;6;6,13,1,8,18,11;0.666666646666667
0.2;0.3333333;3;6,1,7;0.6666666
0.2;0.3333333;3;6,1,18;0.6666666
0.2;0.3333333;3;6,13,18;0.6666666
0.2;0.3333333;3;6,13,16;0.6666666
0.2;0.5;2;2,5;0.642857182346941
0.2;0.5;2;2,4;0.642857182346941
0.06666667;0.1;6;12,2,8,16,4,15;0.599999988
0.06666667;0.1;6;12,6,9,16,3,15;0.599999988
0.06666667;0.1;6;12,2,9,17,5,14;0.599999988
0.06666667;0.1;6;12,2,17,7,4,14;0.599999988
0.06666667;0.1;6;12,6,1,18,7,14;0.599999988
0.06666667;0.1;6;12,6,13,1,18,7;0.599999988
0.06666667;0.1;6;12,6,13,9,18,3;0.599999988
0.06666667;0.1;6;12,6,13,9,17,3;0.599999988
0.06666667;0.1;6;12,6,13,9,16,3;0.599999988
0.06666667;0.1;6;12,6,13,9,1,16;0.599999988
0.2;0.29999998;3;12,6,18;0.59999996
0.2;0.29999998;3;12,6,1;0.59999996
0.26666668;0.44444445;2;13,18;0.571428613673472
0.26666668;0.44444445;2;6,18;0.571428613673472
0.26666668;0.44444445;2;6,16;0.571428613673472
0.13333334;0.22222222;4;6,13,1,11;0.55555555
0.13333334;0.22222222;4;6,13,1,7;0.55555555
0.13333334;0.22222222;4;6,13,1,18;0.55555555
0.13333334;0.22222222;4;6,13,1,16;0.55555555
0.13333334;0.4;2;8,11;0.514285745877553
0.26666668;0.4;2;12,16;0.514285745877553
0.13333334;0.2;4;12,2,17,14;0.5
0.13333334;0.2;4;12,6,13,18;0.5
0.13333334;0.2;4;12,6,13,1;0.5
0.13333334;0.22222222;3;13,8,18;0.44444444
0.2;0.3333333;2;13,8;0.428571412040815
0.13333334;0.2;3;12,16,15;0.4
0.13333334;0.2;3;12,7,14;0.4
0.13333334;0.2;3;12,2,4;0.4
0.13333334;0.2;3;12,9,17;0.4
0.2;0.29999998;2;12,14;0.385714283693877
0.2;0.29999998;2;12,7;0.385714283693877
0.2;0.29999998;2;12,17;0.385714283693877
0.2;0.29999998;2;12,2;0.385714283693877
0.13333334;0.22222222;2;13,17;0.285714300408164
